protocols,ip,port
socks5,5.202.120.214,5678
socks5,200.152.100.194,1080
socks5,128.199.131.98,18182
socks5,106.75.189.147,999
socks5,117.94.221.78,1080
socks5,85.15.65.70,1080
socks5,50.116.8.96,17477
socks5,138.0.53.101,5678
socks5,206.189.212.114,7497
socks5,37.235.31.27,9091
socks5,104.18.166.99,13335
socks5,54.38.195.161,63851
socks5,157.185.157.151,26589
socks5,165.225.240.95,10605
socks5,103.51.46.251,13381
socks5,51.15.190.163,14522
socks5,157.185.168.87,26589
socks5,192.163.252.85,52119
socks5,206.189.9.30,42331
socks5,47.243.95.228,10080
socks5,80.78.23.49,1080
socks5,188.120.248.106,7497
socks5,172.67.69.9,80
socks5,103.76.190.210,58275
socks5,43.153.55.253,443
socks5,95.68.225.138,1080
socks5,45.8.105.58,80
socks5,89.19.177.197,1080
socks5,46.32.230.136,7497
socks5,70.34.222.80,1080
socks5,154.197.128.161,3128
socks5,178.79.144.186,8080
socks5,172.247.149.170,53110
socks5,115.159.65.66,7302
socks5,216.107.129.135,10180
socks5,183.88.78.114,8080
socks5,203.142.77.74,5678
socks5,5.188.226.250,36762
socks5,101.231.66.130,80
socks5,116.62.240.85,7890
socks5,41.90.242.102,5678
socks5,204.57.112.5,80
socks5,117.86.138.13,20012
socks5,159.192.233.69,4145
socks5,171.244.10.204,55145
socks5,115.209.108.70,3000
socks5,51.254.32.143,80
socks5,185.49.87.116,3128
socks5,173.82.168.200,17855
socks5,120.46.137.97,8080
socks5,86.48.13.95,3128
socks5,80.210.58.174,5678
socks5,207.180.198.90,16791
socks5,172.67.181.144,80
socks5,192.154.194.99,9000
socks5,119.23.108.149,6111
socks5,125.229.3.41,80
socks5,45.77.111.135,15082
socks5,209.97.160.204,14061
socks5,31.13.33.4,8080
socks5,45.77.210.72,11874
socks5,51.210.43.253,7497
socks5,66.42.60.190,21358
socks5,159.223.117.14,24006
socks5,51.83.133.132,22027
socks5,43.153.29.34,443
socks5,36.70.255.140,8080
socks5,138.68.135.103,3128
socks5,206.189.85.92,7497
socks5,165.227.82.7,24668
socks5,175.139.208.117,8080
socks5,188.166.217.4,20278
socks5,43.153.174.197,443
socks5,5.252.177.254,12020
socks5,47.243.190.17,8000
socks5,104.20.75.69,80
socks5,91.241.130.127,8080
socks5,222.124.177.148,7497
socks5,117.83.173.216,23456
socks5,173.255.202.28,39319
socks5,104.16.241.204,80
socks5,159.192.232.226,52335
socks5,185.162.93.62,9050
socks5,187.95.82.57,26269
socks5,51.210.240.92,19144
socks5,165.225.94.122,10605
socks5,104.17.197.90,2057
socks5,115.76.248.226,8080
socks5,144.202.5.48,10053
socks5,114.242.125.237,1080
socks5,114.231.8.16,1080
socks5,138.197.203.84,7497
socks5,103.86.200.48,5678
socks5,121.234.63.215,24388
socks5,176.103.51.24,30421
socks5,104.24.220.52,80
socks5,62.171.135.216,50037
socks5,116.58.224.33,8080
socks5,193.252.50.1,3820
socks5,149.28.155.28,62963
socks5,171.104.143.56,33080
socks5,72.52.131.65,80
socks5,71.221.30.180,17330
socks5,45.196.150.195,5432
socks5,49.75.17.108,44844
socks5,45.142.182.99,1080
socks5,159.65.253.201,51080
socks5,92.124.143.26,1080
socks5,128.199.142.101,14061
socks5,43.153.52.178,443
socks5,195.154.61.36,57438
socks5,116.105.165.83,1080
socks5,203.28.9.107,80
socks5,208.113.153.30,46293
socks5,150.158.135.201,24289
socks5,139.59.128.40,2016
socks5,185.105.237.129,808
socks5,108.26.234.210,9050
socks5,139.59.58.141,7497
socks5,47.49.228.234,80
socks5,103.75.185.134,6359
socks5,185.162.229.127,80
socks5,138.0.89.154,999
socks5,46.101.159.153,52570
socks5,94.199.108.66,62311
socks5,172.104.154.229,1082
socks5,185.200.38.235,10820
socks5,187.191.53.155,7497
socks5,8.210.150.195,26666
socks5,144.126.217.189,12345
socks5,62.171.137.122,61568
socks5,104.16.143.127,80
socks5,5.189.179.57,57238
socks5,119.28.74.177,10004
socks5,104.24.15.158,80
socks5,47.117.138.120,1080
socks5,78.38.108.199,1080
socks5,31.128.248.2,1080
socks5,109.227.6.197,4145
socks5,172.67.25.204,80
socks5,185.200.38.229,10820
socks5,45.81.225.94,30001
socks5,178.128.151.87,40081
socks5,103.82.20.108,51980
socks5,157.245.77.149,2817
socks5,193.105.124.46,1080
socks5,103.214.112.86,32323
socks5,103.250.73.178,8444
socks5,111.220.90.41,40938
socks5,173.236.188.26,54262
socks5,45.77.4.241,9050
socks5,8.210.206.32,47161
socks5,104.23.107.172,80
socks5,95.38.75.146,2120
socks5,202.58.199.204,5678
socks5,62.109.31.192,20000
socks5,213.149.103.133,61859
socks5,185.162.231.254,80
socks5,37.235.48.19,80
socks5,41.66.252.134,53281
socks5,43.134.164.175,443
socks5,217.115.115.247,56792
socks5,69.163.162.253,20676
socks5,185.200.38.236,10820
socks5,100.2.109.83,8080
socks5,104.25.194.175,80
socks5,5.161.42.131,97
socks5,185.173.106.113,8080
socks5,206.72.206.45,1080
socks5,177.93.78.9,26316
socks5,114.106.137.191,38801
socks5,94.101.179.153,9050
socks5,62.179.9.19,6830
socks5,139.59.99.83,80
socks5,173.236.181.192,24310
socks5,38.127.179.219,46656
socks5,222.95.242.184,4134
socks5,178.249.218.34,5678
socks5,119.91.214.119,3389
socks5,110.243.2.186,9999
socks5,143.198.237.236,9050
socks5,119.186.69.87,38801
socks5,60.165.35.64,7302
socks5,43.128.232.224,31993
socks5,172.67.38.96,80
socks5,43.128.40.142,65533
socks5,93.158.202.194,50673
socks5,161.97.118.197,3128
socks5,43.153.170.84,443
socks5,64.90.50.79,64862
socks5,138.201.248.43,31043
socks5,8.219.150.127,443
socks5,185.172.129.13,7497
socks5,104.25.234.81,80
socks5,165.154.92.12,3512
socks5,128.199.150.158,3128
socks5,51.210.21.189,1080
socks5,103.90.231.93,40797
socks5,43.128.51.21,8765
socks5,146.56.150.146,32241
socks5,128.199.149.20,64830
socks5,121.62.60.205,20170
socks5,104.223.45.93,80
socks5,212.129.42.252,60111
socks5,38.127.172.186,174
socks5,203.30.188.247,80
socks5,103.59.190.2,58678
socks5,192.154.246.96,9000
socks5,198.211.99.26,9300
socks5,200.140.83.108,6588
socks5,64.90.48.27,24650
socks5,5.252.179.222,32109
socks5,68.183.17.152,8016
